"line_no","round","category","event","numeric_index","numeric_value","sanitized_text"
"63","8","general","Sign: mean_ratio=2578432917504.000, max_ratio=7622962970624.000, mean_score=0.300","1","2578432917504.000","Sign: mean_ratio=2578432917504.000, max_ratio=7622962970624.000, mean_score=0.300"
"63","8","general","Sign: mean_ratio=2578432917504.000, max_ratio=7622962970624.000, mean_score=0.300","2","7622962970624.000","Sign: mean_ratio=2578432917504.000, max_ratio=7622962970624.000, mean_score=0.300"
"63","8","general","Sign: mean_ratio=2578432917504.000, max_ratio=7622962970624.000, mean_score=0.300","3","0.300","Sign: mean_ratio=2578432917504.000, max_ratio=7622962970624.000, mean_score=0.300"
"64","8","MOS-Core","Gen 10/100:","1","10","[MOS-Core] Gen 10/100:"
"64","8","MOS-Core","Gen 10/100:","2","100","[MOS-Core] Gen 10/100:"
"65","8","general","Stealth: mean=0.593, best=1.000","1","0.593","Stealth: mean=0.593, best=1.000"
"65","8","general","Stealth: mean=0.593, best=1.000","2","1.000","Stealth: mean=0.593, best=1.000"
"66","8","general","Destructiveness: mean=299592692269056.000, best=855695394078720.000","1","299592692269056.000","Destructiveness: mean=299592692269056.000, best=855695394078720.000"
"66","8","general","Destructiveness: mean=299592692269056.000, best=855695394078720.000","2","855695394078720.000","Destructiveness: mean=299592692269056.000, best=855695394078720.000"
"67","8","general","CV: mean=1392819699712.0000, min=0.0000","1","1392819699712.0000","CV: mean=1392819699712.0000, min=0.0000"
"67","8","general","CV: mean=1392819699712.0000, min=0.0000","2","0.0000","CV: mean=1392819699712.0000, min=0.0000"
"68","8","general","Feasibility: count=2, ratio=20.00%","1","2","Feasibility: count=2, ratio=20.00%"
"68","8","general","Feasibility: count=2, ratio=20.00%","2","20.00","Feasibility: count=2, ratio=20.00%"
"69","8","general","Max feasible destruct: 0.244","1","0.244","Max feasible destruct: 0.244"
"70","8","general","Pareto front size: 10","1","10","Pareto front size: 10"
"71","8","general","Budget ratio: mean=0.340, max=0.943","1","0.340","Budget ratio: mean=0.340, max=0.943"
"71","8","general","Budget ratio: mean=0.340, max=0.943","2","0.943","Budget ratio: mean=0.340, max=0.943"
"72","8","general","Radial: mean_ratio=0.340, max_ratio=0.943, mean_score=0.789","1","0.340","Radial: mean_ratio=0.340, max_ratio=0.943, mean_score=0.789"
"72","8","general","Radial: mean_ratio=0.340, max_ratio=0.943, mean_score=0.789","2","0.943","Radial: mean_ratio=0.340, max_ratio=0.943, mean_score=0.789"
"72","8","general","Radial: mean_ratio=0.340, max_ratio=0.943, mean_score=0.789","3","0.789","Radial: mean_ratio=0.340, max_ratio=0.943, mean_score=0.789"
"73","8","general","Sign: mean_ratio=2785639399424.000, max_ratio=7762693062656.000, mean_score=0.199","1","2785639399424.000","Sign: mean_ratio=2785639399424.000, max_ratio=7762693062656.000, mean_score=0.199"
"73","8","general","Sign: mean_ratio=2785639399424.000, max_ratio=7762693062656.000, mean_score=0.199","2","7762693062656.000","Sign: mean_ratio=2785639399424.000, max_ratio=7762693062656.000, mean_score=0.199"
"73","8","general","Sign: mean_ratio=2785639399424.000, max_ratio=7762693062656.000, mean_score=0.199","3","0.199","Sign: mean_ratio=2785639399424.000, max_ratio=7762693062656.000, mean_score=0.199"
"74","8","MOS-Core","Gen 20/100:","1","20","[MOS-Core] Gen 20/100:"
"74","8","MOS-Core","Gen 20/100:","2","100","[MOS-Core] Gen 20/100:"
"75","8","general","Stealth: mean=0.589, best=1.000","1","0.589","Stealth: mean=0.589, best=1.000"
"75","8","general","Stealth: mean=0.589, best=1.000","2","1.000","Stealth: mean=0.589, best=1.000"
"76","8","general","Destructiveness: mean=302997460484096.000, best=883209826992128.000","1","302997460484096.000","Destructiveness: mean=302997460484096.000, best=883209826992128.000"
"76","8","general","Destructiveness: mean=302997460484096.000, best=883209826992128.000","2","883209826992128.000","Destructiveness: mean=302997460484096.000, best=883209826992128.000"
"77","8","general","CV: mean=1403527888896.0000, min=0.0000","1","1403527888896.0000","CV: mean=1403527888896.0000, min=0.0000"
"77","8","general","CV: mean=1403527888896.0000, min=0.0000","2","0.0000","CV: mean=1403527888896.0000, min=0.0000"
"78","8","general","Feasibility: count=2, ratio=20.00%","1","2","Feasibility: count=2, ratio=20.00%"
"78","8","general","Feasibility: count=2, ratio=20.00%","2","20.00","Feasibility: count=2, ratio=20.00%"
"79","8","general","Max feasible destruct: 0.305","1","0.305","Max feasible destruct: 0.305"
"80","8","general","Pareto front size: 10","1","10","Pareto front size: 10"
"81","8","general","Budget ratio: mean=0.349, max=0.981","1","0.349","Budget ratio: mean=0.349, max=0.981"
"81","8","general","Budget ratio: mean=0.349, max=0.981","2","0.981","Budget ratio: mean=0.349, max=0.981"
"82","8","general","Radial: mean_ratio=0.349, max_ratio=0.981, mean_score=0.784","1","0.349","Radial: mean_ratio=0.349, max_ratio=0.981, mean_score=0.784"
"82","8","general","Radial: mean_ratio=0.349, max_ratio=0.981, mean_score=0.784","2","0.981","Radial: mean_ratio=0.349, max_ratio=0.981, mean_score=0.784"
"82","8","general","Radial: mean_ratio=0.349, max_ratio=0.981, mean_score=0.784","3","0.784","Radial: mean_ratio=0.349, max_ratio=0.981, mean_score=0.784"
"83","8","general","Sign: mean_ratio=2807055777792.000, max_ratio=7896626102272.000, mean_score=0.199","1","2807055777792.000","Sign: mean_ratio=2807055777792.000, max_ratio=7896626102272.000, mean_score=0.199"
"83","8","general","Sign: mean_ratio=2807055777792.000, max_ratio=7896626102272.000, mean_score=0.199","2","7896626102272.000","Sign: mean_ratio=2807055777792.000, max_ratio=7896626102272.000, mean_score=0.199"
"83","8","general","Sign: mean_ratio=2807055777792.000, max_ratio=7896626102272.000, mean_score=0.199","3","0.199","Sign: mean_ratio=2807055777792.000, max_ratio=7896626102272.000, mean_score=0.199"
